source,source_record_id,doi,title,journal,issn,eissn,received_date,accepted_date,published_date,review_days,production_days,total_days,evidence_url,harvested_at
pubmed,42067819,10.1186/s12889-026-27603-x,When undernutrition meets overweight: prevalence and determinants of double burden of malnutrition among women-child pairs in Burkina Faso from the 2021 Demographic and Health Survey.,BMC public health,1471-2458,,2025-12-03,2026-04-27,2026-05-02,145,5,150,https://pubmed.ncbi.nlm.nih.gov/42067819/,2026-05-02
pubmed,42067880,10.1186/s12889-026-27571-2,Online-based antenatal education and its effects on maternal mental health and selected neonatal outcomes: a systematic review and meta-analysis.,BMC public health,1471-2458,,2026-02-27,2026-04-23,2026-05-01,55,8,63,https://pubmed.ncbi.nlm.nih.gov/42067880/,2026-05-02
pubmed,42067856,10.1186/s12889-026-27518-7,Exploratory assessment of the correlates of lifestyle medicine among Spanish university students: UNILIFE-M study.,BMC public health,1471-2458,,2026-02-23,2026-04-20,2026-05-01,56,11,67,https://pubmed.ncbi.nlm.nih.gov/42067856/,2026-05-02
pubmed,42067853,10.1186/s12889-026-27609-5,Adherence to 24-hour movement guidelines and health-related quality of life from childhood to late adolescence: a prospective cohort study of Australian youth.,BMC public health,1471-2458,,2026-02-18,2026-04-27,2026-05-01,68,4,72,https://pubmed.ncbi.nlm.nih.gov/42067853/,2026-05-02
pubmed,42067844,10.1186/s12889-026-27425-x,Macroeconomic determinants of maternal and neonatal mortality: a global panel analysis.,BMC public health,1471-2458,,2025-12-25,2026-04-13,2026-05-01,109,18,127,https://pubmed.ncbi.nlm.nih.gov/42067844/,2026-05-02
pubmed,42067841,10.1186/s12889-026-27616-6,Association between self-purchased medication use and gastric disease among Chinese adults: a cross-sectional analysis based on CHARLS 2018 data.,BMC public health,1471-2458,,2025-10-28,2026-04-27,2026-05-01,181,4,185,https://pubmed.ncbi.nlm.nih.gov/42067841/,2026-05-02
pubmed,42067838,10.1186/s12889-026-27561-4,Exploring the perceived socio-cultural factors in the initiation of smokeless tobacco among adolescents: a qualitative systematic review.,BMC public health,1471-2458,,2025-12-30,2026-04-22,2026-05-01,113,9,122,https://pubmed.ncbi.nlm.nih.gov/42067838/,2026-05-02
pubmed,42067835,10.1186/s12889-026-27543-6,Non-linear association between cyberbullying victimization and Internet addiction in Chinese adolescents: a cross-sectional study.,BMC public health,1471-2458,,2024-11-04,2026-04-21,2026-05-01,533,10,543,https://pubmed.ncbi.nlm.nih.gov/42067835/,2026-05-02
pubmed,42067830,10.1186/s12889-026-27361-w,Public health emergency response through field epidemiology training and rapid response teams - a scoping review.,BMC public health,1471-2458,,2024-07-16,2026-04-07,2026-05-01,630,24,654,https://pubmed.ncbi.nlm.nih.gov/42067830/,2026-05-02
pubmed,42067820,10.1186/s12889-026-27651-3,"Individual and combined associations of modifiable metabolic health and lifestyle with low back pain, neck pain, and functional limitation: evidence from a nationally cross-sectional study.",BMC public health,1471-2458,,2025-12-03,2026-04-30,2026-05-01,148,1,149,https://pubmed.ncbi.nlm.nih.gov/42067820/,2026-05-02
