source,title,publisher,issn,eissn,field,scopus,wos,wos_indexes,abdc_rating
scopus_mar_2026,@GRH,Association Francophone de Gestion des Relations Humaines,20349130,22959149,1407,true,,,
scopus_mar_2026,[Hifu] Skin research,Osaka University Medical School,00181390,,2708; 2725,true,,,
scopus_mar_2026,[Rinsho ketsueki] The Japanese journal of clinical hematology,Nihon Rinsho Ketsueki Gakkai/Japan Society of Clinical Hematology,04851439,18820824,2700,true,,,
scopus_mar_2026,[Zasshi] [Journal]. Nihon Kyobu Geka Gakkai,Nihon Kyobu Geka Gakkai,03694739,,2705,true,,,
scopus_mar_2026,1700-tal: Nordic Journal for Eighteenth-Century Studies,Swedish Society for Eighteenth-Century Studies,16524772,20019866,1213; 3316; 1202,true,,,
scopus_mar_2026,20 & 21: Revue d'Histoire,Presses de Sciences Po,2649664X,26496100,1202,true,,,
scopus_mar_2026,21st Century Music,21st-Century Music,15343219,,1210,true,,,
scopus_mar_2026,2D Materials,IOP Publishing Ltd.,,20531583,2210; 2211; 3104; 2500; 1600,true,,,
scopus_mar_2026,3 Biotech,Springer Science and Business Media Deutschland GmbH,2190572X,21905738,2301; 1101; 1305,true,,,
scopus_mar_2026,3D Printing and Additive Manufacturing,SAGE Publications Ltd,23297662,23297670,2501; 2209,true,,,
scopus_mar_2026,3D Printing in Medicine,BioMed Central Ltd,,23656271,2741; 1706; 2204,true,,,
scopus_mar_2026,3D Research,3D Display Research Center,,20926731,2208; 1712,true,,,
scopus_mar_2026,"3L: Language, Linguistics, Literature",Penerbit Universiti Kebangsaan Malaysia,01285157,25502247,3310; 1208; 1203,true,,,
scopus_mar_2026,452ºF,"Universitat de Barcelona, Facultad de Filologia",,20133294,1208,true,,,
scopus_mar_2026,4OR,Springer,16194500,16142411,1703; 1803; 1404; 2614,true,,,
scopus_mar_2026,A + U-Architecture and Urbanism,"Japan Architects Co., Ltd.",03899160,,3322; 1213; 2216,true,,,
scopus_mar_2026,A and A Case Reports,Lippincott Williams and Wilkins,,23257237,2700,true,,,
scopus_mar_2026,A and A Practice,Wolters Kluwer Health,,25753126,2700,true,,,
scopus_mar_2026,A Contrario,Editions Antipodes,16607880,16628667,1208; 3320; 3312; 3316,true,,,
scopus_mar_2026,A e C - Revista de Direito Administrativo e Constitucional,Instituto de Direito Romeu Felipe Bacellar,15163210,19844182,3308,true,,,
scopus_mar_2026,A Journal of emergency medical services : JEMS,JEMS Communication,01972510,,2700,true,,,
